Area,Recruitment_year,min_age,median,q5,q95,Lat_degrees,Long_degrees
Råneå,2006,2,26.11,21.01,32.84,65.83283,22.42617
Råneå,2007,2,6.03,4.79,7.83,65.83283,22.42617
Råneå,2008,2,3.85,3.16,4.7,65.83283,22.42617
Råneå,2009,2,15.7,13.39,18.56,65.83283,22.42617
Råneå,2010,2,8.27,7.01,9.82,65.83283,22.42617
Råneå,2011,2,10.45,8.6,12.79,65.83283,22.42617
Råneå,2012,2,3.27,2.29,5.93,65.83283,22.42617
Råneå,2013,2,6.88,5.57,8.65,65.83283,22.42617
Råneå,2014,2,13.9,10.65,18.49,65.83283,22.42617
Råneå,2015,2,2.26,1.73,3.17,65.83283,22.42617
Råneå,2016,2,9.73,7.96,12.09,65.83283,22.42617
Råneå,2017,2,3.24,2.5,4.2,65.83283,22.42617
Råneå,2018,2,12.99,11.15,15.39,65.83283,22.42617
Råneå,2019,2,6.19,5.31,7.32,65.83283,22.42617
Råneå,2020,2,5.28,4.55,6.14,65.83283,22.42617
Råneå,2021,2,7.68,6.55,9.01,65.83283,22.42617
Råneå,2022,2,5.09,4.03,6.42,65.83283,22.42617
Kinnbäcksfjärden,2007,3,91.97,54.97,158,65.04667,21.51833
Kinnbäcksfjärden,2008,3,12.81,7.82,21.07,65.04667,21.51833
Kinnbäcksfjärden,2009,3,67.81,41.77,109.66,65.04667,21.51833
Kinnbäcksfjärden,2010,3,79.55,50.65,128.77,65.04667,21.51833
Kinnbäcksfjärden,2011,3,140.7,88.48,227.09,65.04667,21.51833
Kinnbäcksfjärden,2012,3,12.55,7.04,22.7,65.04667,21.51833
Kinnbäcksfjärden,2013,3,102.32,55.08,196.08,65.04667,21.51833
Kinnbäcksfjärden,2014,3,181.76,90.05,393.6,65.04667,21.51833
Kinnbäcksfjärden,2015,3,436.01,217.45,969.37,65.04667,21.51833
Kinnbäcksfjärden,2016,3,83.99,43.8,182.93,65.04667,21.51833
Kinnbäcksfjärden,2017,3,31.79,15.52,68.79,65.04667,21.51833
Kinnbäcksfjärden,2018,3,425.59,218.87,906.34,65.04667,21.51833
Holmön,2002,1,13.21,9.86,17.95,63.6815,20.87533
Holmön,2003,1,27.49,20.25,37.41,63.6815,20.87533
Holmön,2004,1,8.97,6.23,13.39,63.6815,20.87533
