Area,year,age_class,year_class,median,q5,q95,Lat_degrees,Long_degrees
Råneå,2006,2,2004,1.35,1.01,1.67,65.83283,22.42617
Råneå,2006,3,2003,1.19,0.93,1.44,65.83283,22.42617
Råneå,2006,4,2002,0.8,0.55,1.05,65.83283,22.42617
Råneå,2006,5,2001,0.68,0.38,1.03,65.83283,22.42617
Råneå,2006,6,2000,0.7,0.27,1.64,65.83283,22.42617
Råneå,2006,7,1999,0.73,0.5,0.91,65.83283,22.42617
Råneå,2006,plusgroup,1998,0.73,0.5,0.91,65.83283,22.42617
Råneå,2007,2,2005,0.47,0.23,0.72,65.83283,22.42617
Råneå,2007,3,2004,0.48,0.12,0.89,65.83283,22.42617
Råneå,2007,4,2003,0.39,0.16,0.65,65.83283,22.42617
Råneå,2007,5,2002,0.51,0.3,0.77,65.83283,22.42617
Råneå,2007,6,2001,0.48,0.22,0.78,65.83283,22.42617
Råneå,2007,7,2000,0.72,0.51,0.87,65.83283,22.42617
Råneå,2007,plusgroup,1999,0.72,0.51,0.87,65.83283,22.42617
Råneå,2008,2,2006,0.03,0,0.11,65.83283,22.42617
Råneå,2008,3,2005,0.04,0.01,0.13,65.83283,22.42617
Råneå,2008,4,2004,0.19,0.04,0.46,65.83283,22.42617
Råneå,2008,5,2003,0.37,0.17,0.59,65.83283,22.42617
Råneå,2008,6,2002,0.45,0.21,0.69,65.83283,22.42617
Råneå,2008,7,2001,0.7,0.51,0.83,65.83283,22.42617
Råneå,2008,plusgroup,2000,0.7,0.51,0.83,65.83283,22.42617
Råneå,2009,2,2007,0.19,0.01,0.49,65.83283,22.42617
Råneå,2009,3,2006,0.24,0.03,0.49,65.83283,22.42617
Råneå,2009,4,2005,0.39,0.18,0.63,65.83283,22.42617
Råneå,2009,5,2004,0.46,0.23,0.79,65.83283,22.42617
Råneå,2009,6,2003,0.51,0.26,0.79,65.83283,22.42617
Råneå,2009,7,2002,0.71,0.55,0.83,65.83283,22.42617
Råneå,2009,plusgroup,2001,0.71,0.55,0.83,65.83283,22.42617
Råneå,2010,2,2008,0.03,0,0.21,65.83283,22.42617
Råneå,2010,3,2007,0.04,0,0.15,65.83283,22.42617
Råneå,2010,4,2006,0.21,0.05,0.42,65.83283,22.42617
Råneå,2010,5,2005,0.37,0.18,0.6,65.83283,22.42617
Råneå,2010,6,2004,0.47,0.22,0.78,65.83283,22.42617
Råneå,2010,7,2003,0.72,0.56,0.83,65.83283,22.42617
Råneå,2010,plusgroup,2002,0.72,0.56,0.83,65.83283,22.42617
Råneå,2011,2,2009,0.01,0,0.06,65.83283,22.42617
Råneå,2011,3,2008,0.02,0,0.09,65.83283,22.42617
Råneå,2011,4,2007,0.16,0.03,0.39,65.83283,22.42617
Råneå,2011,5,2006,0.33,0.16,0.51,65.83283,22.42617
Råneå,2011,6,2005,0.64,0.38,0.94,65.83283,22.42617
Råneå,2011,7,2004,0.75,0.62,0.86,65.83283,22.42617
Råneå,2011,plusgroup,2003,0.75,0.62,0.86,65.83283,22.42617
Råneå,2012,2,2010,0.02,0,0.08,65.83283,22.42617
Råneå,2012,3,2009,0.1,0.01,0.28,65.83283,22.42617
Råneå,2012,4,2008,0.34,0.11,0.62,65.83283,22.42617
Råneå,2012,5,2007,0.58,0.31,0.92,65.83283,22.42617
Råneå,2012,6,2006,0.97,0.64,1.31,65.83283,22.42617
Råneå,2012,7,2005,0.8,0.69,1.06,65.83283,22.42617
Råneå,2012,plusgroup,2004,0.8,0.69,1.06,65.83283,22.42617
Råneå,2013,2,2011,0.04,0,0.35,65.83283,22.42617
Råneå,2013,3,2010,0.54,0.11,0.84,65.83283,22.42617
