Area,age_class,median,q5,q95,Lat_degrees,Long_degrees
Råneå,2,0.19,0.12,0.26,65.83283,22.42617
Råneå,3,0.32,0.26,0.38,65.83283,22.42617
Råneå,4,0.2,0.13,0.27,65.83283,22.42617
Råneå,5,0.31,0.22,0.4,65.83283,22.42617
Råneå,6,0.59,0.47,0.71,65.83283,22.42617
Råneå,7,0.76,0.69,0.83,65.83283,22.42617
Råneå,plusgroup,0.76,0.69,0.83,65.83283,22.42617
Råneå,Total,0.34,0.32,0.35,65.83283,22.42617
Kinnbäcksfjärden,3,0.92,0.76,1.08,65.04667,21.51833
Kinnbäcksfjärden,4,1.55,1.4,1.71,65.04667,21.51833
Kinnbäcksfjärden,plusgroup,1.55,1.4,1.71,65.04667,21.51833
Kinnbäcksfjärden,Total,1.19,1.12,1.28,65.04667,21.51833
Holmön,1,0.37,0.28,0.46,63.6815,20.87533
Holmön,2,0.29,0.21,0.38,63.6815,20.87533
Holmön,3,0.65,0.54,0.77,63.6815,20.87533
Holmön,4,1.14,0.99,1.29,63.6815,20.87533
Holmön,5,1.65,1.39,2.11,63.6815,20.87533
Holmön,plusgroup,1.65,1.39,2.11,63.6815,20.87533
Holmön,Total,0.56,0.53,0.6,63.6815,20.87533
Norrbyn,1,0.07,0.01,0.14,63.53367,19.83417
Norrbyn,2,0.44,0.29,0.68,63.53367,19.83417
Norrbyn,3,1.53,1.24,1.9,63.53367,19.83417
Norrbyn,4,1.92,1.49,3.36,63.53367,19.83417
Norrbyn,plusgroup,1.92,1.49,3.36,63.53367,19.83417
Norrbyn,Total,0.68,0.62,0.8,63.53367,19.83417
Gaviksfjärden,2,0.09,0.02,0.19,62.86333,18.27583
Gaviksfjärden,3,0.74,0.55,0.96,62.86333,18.27583
Gaviksfjärden,4,1.59,1.44,1.75,62.86333,18.27583
Gaviksfjärden,plusgroup,1.59,1.44,1.75,62.86333,18.27583
Gaviksfjärden,Total,0.72,0.68,0.79,62.86333,18.27583
Långvindsfjärden,2,0.29,0.23,0.35,61.45617,17.16567
Långvindsfjärden,3,0.62,0.45,1.14,61.45617,17.16567
Långvindsfjärden,4,0.61,0.51,0.72,61.45617,17.16567
Långvindsfjärden,5,0.72,0.59,0.87,61.45617,17.16567
Långvindsfjärden,6,0.88,0.79,0.98,61.45617,17.16567
Långvindsfjärden,plusgroup,0.88,0.79,0.98,61.45617,17.16567
Långvindsfjärden,Total,0.59,0.52,0.86,61.45617,17.16567
Forsmark,1,0.13,0.09,0.17,60.43383,18.16217
Forsmark,2,0.46,0.39,0.52,60.43383,18.16217
Forsmark,3,0.84,0.75,0.93,60.43383,18.16217
Forsmark,4,1.29,1.2,1.4,60.43383,18.16217
Forsmark,plusgroup,1.29,1.2,1.4,60.43383,18.16217
Forsmark,Total,0.53,0.51,0.54,60.43383,18.16217
Finbo(Åland),1,0.37,0.31,0.44,60.25,19.58333
