Area,year,median,q5,q95,Lat_degrees,Long_degrees
Råneå,2006,1.03,0.89,1.19,65.83283,22.42617
Råneå,2007,0.49,0.35,0.62,65.83283,22.42617
Råneå,2008,0.19,0.13,0.26,65.83283,22.42617
Råneå,2009,0.37,0.25,0.49,65.83283,22.42617
Råneå,2010,0.25,0.18,0.34,65.83283,22.42617
Råneå,2011,0.19,0.14,0.25,65.83283,22.42617
Råneå,2012,0.3,0.23,0.39,65.83283,22.42617
Råneå,2013,0.42,0.28,0.62,65.83283,22.42617
Råneå,2014,0.53,0.38,0.69,65.83283,22.42617
Råneå,2015,0.34,0.26,0.44,65.83283,22.42617
Råneå,2016,0.34,0.25,0.44,65.83283,22.42617
Råneå,2017,0.29,0.23,0.37,65.83283,22.42617
Råneå,2018,0.22,0.16,0.31,65.83283,22.42617
Råneå,2019,0.37,0.27,0.46,65.83283,22.42617
Råneå,2020,0.2,0.14,0.27,65.83283,22.42617
Råneå,2021,0.18,0.15,0.23,65.83283,22.42617
Råneå,2022,0.15,0.12,0.2,65.83283,22.42617
Råneå,2023,0.19,0.13,0.26,65.83283,22.42617
Kinnbäcksfjärden,2007,1.01,0.76,1.38,65.04667,21.51833
Kinnbäcksfjärden,2008,0.67,0.5,0.84,65.04667,21.51833
Kinnbäcksfjärden,2009,1.22,0.96,1.47,65.04667,21.51833
Kinnbäcksfjärden,2010,0.76,0.58,0.96,65.04667,21.51833
Kinnbäcksfjärden,2011,1.3,1.07,1.56,65.04667,21.51833
Kinnbäcksfjärden,2012,0.92,0.73,1.11,65.04667,21.51833
Kinnbäcksfjärden,2013,0.97,0.77,1.17,65.04667,21.51833
Kinnbäcksfjärden,2014,1.27,1.05,1.57,65.04667,21.51833
Kinnbäcksfjärden,2015,1.83,1.47,2.31,65.04667,21.51833
Kinnbäcksfjärden,2016,1.25,0.98,1.6,65.04667,21.51833
Kinnbäcksfjärden,2017,1.27,1,1.61,65.04667,21.51833
Kinnbäcksfjärden,2018,1.2,0.93,1.51,65.04667,21.51833
Kinnbäcksfjärden,2019,1.39,1.13,1.69,65.04667,21.51833
Kinnbäcksfjärden,2020,1.55,1.18,2.06,65.04667,21.51833
Holmön,2002,0.3,0.19,0.45,63.6815,20.87533
Holmön,2003,0.91,0.68,1.14,63.6815,20.87533
Holmön,2004,0.69,0.5,0.92,63.6815,20.87533
Holmön,2005,0.52,0.32,0.73,63.6815,20.87533
Holmön,2006,0.42,0.25,0.61,63.6815,20.87533
Holmön,2007,0.37,0.23,0.54,63.6815,20.87533
Holmön,2008,0.93,0.71,1.15,63.6815,20.87533
Holmön,2009,0.28,0.15,0.46,63.6815,20.87533
Holmön,2010,0.25,0.14,0.37,63.6815,20.87533
Holmön,2011,0.36,0.24,0.53,63.6815,20.87533
Holmön,2012,0.47,0.32,0.64,63.6815,20.87533
Holmön,2013,1.07,0.83,1.31,63.6815,20.87533
Holmön,2014,0.98,0.7,1.28,63.6815,20.87533
Holmön,2015,1.11,0.68,1.5,63.6815,20.87533
Holmön,2016,0.71,0.34,1.36,63.6815,20.87533
Holmön,2017,0.41,0.24,0.64,63.6815,20.87533
Holmön,2018,0.32,0.2,0.47,63.6815,20.87533
Holmön,2019,0.35,0.2,0.56,63.6815,20.87533
Holmön,2020,0.79,0.56,1.07,63.6815,20.87533
Holmön,2021,0.21,0.11,0.35,63.6815,20.87533
Holmön,2022,0.32,0.19,0.48,63.6815,20.87533
Holmön,2023,0.26,0.16,0.42,63.6815,20.87533
Holmön,2024,0.65,0.46,0.85,63.6815,20.87533
Norrbyn,2002,0.59,0.37,0.91,63.53367,19.83417
Norrbyn,2003,0.61,0.32,0.93,63.53367,19.83417
Norrbyn,2004,0.32,0.2,0.52,63.53367,19.83417
Norrbyn,2005,0.27,0.17,0.44,63.53367,19.83417
Norrbyn,2006,0.82,0.57,1.09,63.53367,19.83417
Norrbyn,2007,0.66,0.41,0.95,63.53367,19.83417
Norrbyn,2008,0.8,0.51,1.23,63.53367,19.83417
Norrbyn,2009,0.99,0.71,1.43,63.53367,19.83417
Norrbyn,2010,0.77,0.5,1.06,63.53367,19.83417
Norrbyn,2011,0.51,0.33,0.9,63.53367,19.83417
Norrbyn,2012,0.45,0.29,0.67,63.53367,19.83417
Norrbyn,2013,0.63,0.45,0.88,63.53367,19.83417
Norrbyn,2014,1.36,0.84,1.82,63.53367,19.83417
Norrbyn,2015,1.08,0.6,1.9,63.53367,19.83417
Norrbyn,2016,0.65,0.39,0.97,63.53367,19.83417
Norrbyn,2017,0.48,0.29,0.72,63.53367,19.83417
Norrbyn,2018,0.81,0.37,2.31,63.53367,19.83417
Norrbyn,2019,0.6,0.19,1.38,63.53367,19.83417
Norrbyn,2020,0.45,0.18,1.38,63.53367,19.83417
Norrbyn,2021,0.92,0.41,1.96,63.53367,19.83417
Norrbyn,2022,0.48,0.16,1.39,63.53367,19.83417
Norrbyn,2023,0.24,0.08,0.71,63.53367,19.83417
Norrbyn,2024,0.36,0.11,1.23,63.53367,19.83417
Gaviksfjärden,2007,0.73,0.54,1,62.86333,18.27583
Gaviksfjärden,2008,1.1,0.8,1.43,62.86333,18.27583
Gaviksfjärden,2009,0.29,0.18,0.45,62.86333,18.27583
Gaviksfjärden,2010,0.3,0.15,0.51,62.86333,18.27583
Gaviksfjärden,2011,1.06,0.84,1.24,62.86333,18.27583
Gaviksfjärden,2012,0.65,0.49,0.88,62.86333,18.27583
Gaviksfjärden,2013,0.44,0.31,0.61,62.86333,18.27583
Gaviksfjärden,2014,0.87,0.66,1.11,62.86333,18.27583
Gaviksfjärden,2015,0.7,0.49,0.94,62.86333,18.27583
Gaviksfjärden,2016,1.19,0.97,1.4,62.86333,18.27583
Gaviksfjärden,2017,0.32,0.23,0.41,62.86333,18.27583
Gaviksfjärden,2018,0.6,0.41,0.81,62.86333,18.27583
Gaviksfjärden,2019,1.36,1.15,1.7,62.86333,18.27583
Gaviksfjärden,2020,0.42,0.3,0.61,62.86333,18.27583
Gaviksfjärden,2021,0.78,0.3,1.94,62.86333,18.27583
Gaviksfjärden,2022,0.91,0.37,1.39,62.86333,18.27583
Gaviksfjärden,2023,0.36,0.18,1.11,62.86333,18.27583
Långvindsfjärden,2002,1,0.82,1.19,61.45617,17.16567
Långvindsfjärden,2003,0.48,0.32,0.63,61.45617,17.16567
Långvindsfjärden,2004,0.21,0.12,0.33,61.45617,17.16567
Långvindsfjärden,2005,0.32,0.21,0.45,61.45617,17.16567
Långvindsfjärden,2006,0.8,0.65,0.95,61.45617,17.16567
Långvindsfjärden,2007,0.33,0.22,0.46,61.45617,17.16567
Långvindsfjärden,2008,0.23,0.15,0.35,61.45617,17.16567
Långvindsfjärden,2009,0.57,0.43,0.71,61.45617,17.16567
Långvindsfjärden,2010,0.29,0.21,0.39,61.45617,17.16567
Långvindsfjärden,2011,0.68,0.5,0.85,61.45617,17.16567
Långvindsfjärden,2012,0.62,0.47,0.8,61.45617,17.16567
Långvindsfjärden,2013,0.44,0.3,0.59,61.45617,17.16567
Långvindsfjärden,2014,0.23,0.15,0.35,61.45617,17.16567
Långvindsfjärden,2015,0.48,0.35,0.63,61.45617,17.16567
Långvindsfjärden,2016,0.3,0.2,0.41,61.45617,17.16567
Långvindsfjärden,2017,0.27,0.19,0.35,61.45617,17.16567
Långvindsfjärden,2018,0.95,0.76,1.13,61.45617,17.16567
Långvindsfjärden,2019,0.36,0.24,0.5,61.45617,17.16567
Långvindsfjärden,2020,0.33,0.21,0.49,61.45617,17.16567
Långvindsfjärden,2021,3.49,1.97,9.23,61.45617,17.16567
Långvindsfjärden,2022,0.26,0.08,0.63,61.45617,17.16567
Långvindsfjärden,2023,0.18,0.06,0.54,61.45617,17.16567
Forsmark,2007,0.23,0.15,0.33,60.43383,18.16217
Forsmark,2008,0.77,0.62,0.92,60.43383,18.16217
Forsmark,2009,0.39,0.3,0.5,60.43383,18.16217
Forsmark,2010,0.26,0.2,0.34,60.43383,18.16217
Forsmark,2011,0.34,0.25,0.48,60.43383,18.16217
Forsmark,2012,0.41,0.3,0.51,60.43383,18.16217
Forsmark,2013,0.35,0.26,0.46,60.43383,18.16217
Forsmark,2014,0.77,0.65,0.9,60.43383,18.16217
Forsmark,2015,0.44,0.34,0.56,60.43383,18.16217
Forsmark,2016,0.51,0.39,0.64,60.43383,18.16217
Forsmark,2017,0.64,0.5,0.8,60.43383,18.16217
Forsmark,2018,0.63,0.48,0.78,60.43383,18.16217
Forsmark,2019,0.94,0.75,1.12,60.43383,18.16217
Forsmark,2020,0.11,0.06,0.2,60.43383,18.16217
Forsmark,2021,1.08,0.9,1.24,60.43383,18.16217
Forsmark,2022,0.7,0.55,0.88,60.43383,18.16217
Forsmark,2023,0.51,0.31,0.72,60.43383,18.16217
Forsmark,2024,0.39,0.25,0.56,60.43383,18.16217
Finbo(Åland),2007,0.35,0.26,0.45,60.25,19.58333
Finbo(Åland),2008,0.41,0.31,0.52,60.25,19.58333
Finbo(Åland),2009,0.28,0.22,0.36,60.25,19.58333
Finbo(Åland),2010,0.37,0.28,0.47,60.25,19.58333
Finbo(Åland),2011,0.2,0.14,0.26,60.25,19.58333
Finbo(Åland),2012,0.23,0.17,0.29,60.25,19.58333
Finbo(Åland),2013,0.22,0.15,0.29,60.25,19.58333
Finbo(Åland),2014,0.53,0.41,0.66,60.25,19.58333
Finbo(Åland),2015,0.35,0.26,0.45,60.25,19.58333
Finbo(Åland),2016,0.32,0.23,0.42,60.25,19.58333
Finbo(Åland),2017,0.2,0.13,0.28,60.25,19.58333
Finbo(Åland),2018,0.27,0.2,0.35,60.25,19.58333
Finbo(Åland),2019,0.38,0.28,0.49,60.25,19.58333
Finbo(Åland),2020,0.53,0.42,0.66,60.25,19.58333
Finbo(Åland),2021,0.31,0.23,0.41,60.25,19.58333
Finbo(Åland),2022,0.32,0.23,0.43,60.25,19.58333
Finbo(Åland),2023,0.35,0.25,0.48,60.25,19.58333
Finbo(Åland),2024,0.77,0.6,0.94,60.25,19.58333
Kumlinge(Åland),2007,0.66,0.51,0.82,60.21667,20.81667
Kumlinge(Åland),2008,0.36,0.27,0.45,60.21667,20.81667
Kumlinge(Åland),2009,0.43,0.32,0.52,60.21667,20.81667
Kumlinge(Åland),2010,0.7,0.58,0.88,60.21667,20.81667
Kumlinge(Åland),2011,0.34,0.25,0.52,60.21667,20.81667
Kumlinge(Åland),2012,0.28,0.17,0.53,60.21667,20.81667
Kumlinge(Åland),2013,0.66,0.49,0.91,60.21667,20.81667
Kumlinge(Åland),2014,0.52,0.39,0.65,60.21667,20.81667
Kumlinge(Åland),2015,0.4,0.29,0.55,60.21667,20.81667
Kumlinge(Åland),2016,0.64,0.51,0.81,60.21667,20.81667
Kumlinge(Åland),2017,0.38,0.27,0.72,60.21667,20.81667
Kumlinge(Åland),2018,0.59,0.33,0.83,60.21667,20.81667
Lagnö,2004,0.31,0.21,0.42,59.56567,18.83967
Lagnö,2005,0.47,0.36,0.61,59.56567,18.83967
Lagnö,2006,0.53,0.38,0.68,59.56567,18.83967
Lagnö,2007,0.93,0.75,1.15,59.56567,18.83967
Lagnö,2008,0.47,0.33,0.63,59.56567,18.83967
Lagnö,2009,0.32,0.22,0.44,59.56567,18.83967
Lagnö,2010,0.43,0.33,0.55,59.56567,18.83967
Lagnö,2011,0.53,0.4,0.77,59.56567,18.83967
Lagnö,2012,0.63,0.49,0.8,59.56567,18.83967
Lagnö,2013,0.8,0.62,0.98,59.56567,18.83967
Lagnö,2014,0.58,0.42,0.76,59.56567,18.83967
Lagnö,2015,1.12,0.9,1.36,59.56567,18.83967
Lagnö,2016,0.47,0.32,0.63,59.56567,18.83967
Lagnö,2017,0.37,0.26,0.49,59.56567,18.83967
Lagnö,2018,1.08,0.88,1.3,59.56567,18.83967
Lagnö,2019,0.92,0.73,1.13,59.56567,18.83967
Lagnö,2020,1.3,1.02,1.61,59.56567,18.83967
Lagnö,2021,1.05,0.77,1.35,59.56567,18.83967
Lagnö,2022,0.8,0.61,1.02,59.56567,18.83967
Lagnö,2023,1.55,1.27,1.88,59.56567,18.83967
Lagnö,2024,0.69,0.49,0.92,59.56567,18.83967
Askrikefjärden (Vaxholm),2016,0.32,0.23,0.43,59.38167,18.26667
Askrikefjärden (Vaxholm),2017,0.17,0.1,0.26,59.38167,18.26667
Askrikefjärden (Vaxholm),2018,0.4,0.29,0.54,59.38167,18.26667
Askrikefjärden (Vaxholm),2019,0.16,0.09,0.28,59.38167,18.26667
Askrikefjärden (Vaxholm),2020,0.39,0.3,0.5,59.38167,18.26667
Askrikefjärden (Vaxholm),2021,0.24,0.15,0.34,59.38167,18.26667
Askrikefjärden (Vaxholm),2022,0.64,0.47,0.84,59.38167,18.26667
Askrikefjärden (Vaxholm),2023,0.38,0.25,0.54,59.38167,18.26667
Askrikefjärden (Vaxholm),2024,0.38,0.23,0.54,59.38167,18.26667
Asköfjärden,2005,0.45,0.23,0.74,58.81167,17.71833
Asköfjärden,2006,0.9,0.63,1.46,58.81167,17.71833
Asköfjärden,2007,1.76,1.54,1.99,58.81167,17.71833
Asköfjärden,2008,1.15,0.93,1.4,58.81167,17.71833
Asköfjärden,2009,1.04,0.83,1.26,58.81167,17.71833
Asköfjärden,2010,0.5,0.35,0.67,58.81167,17.71833
Asköfjärden,2011,0.65,0.49,0.83,58.81167,17.71833
Asköfjärden,2012,1.14,0.91,1.43,58.81167,17.71833
Asköfjärden,2013,0.69,0.51,0.87,58.81167,17.71833
Asköfjärden,2014,1.9,1.65,2.16,58.81167,17.71833
Asköfjärden,2015,2.81,2.29,3.55,58.81167,17.71833
Asköfjärden,2016,1.96,1.52,2.43,58.81167,17.71833
Asköfjärden,2017,2.42,1.78,3.27,58.81167,17.71833
Asköfjärden,2018,2.23,1.72,3.1,58.81167,17.71833
Asköfjärden,2019,1.89,1.17,3.01,58.81167,17.71833
Asköfjärden,2020,2.54,1.9,3.4,58.81167,17.71833
Asköfjärden,2021,1.94,1.23,2.92,58.81167,17.71833
Asköfjärden,2022,3.32,2.53,4.33,58.81167,17.71833
Asköfjärden,2023,2.74,2.15,3.43,58.81167,17.71833
Kvädöfjärden,2002,1.28,1.03,1.53,58.01667,16.775
Kvädöfjärden,2003,0.67,0.47,0.88,58.01667,16.775
Kvädöfjärden,2004,0.51,0.37,0.67,58.01667,16.775
Kvädöfjärden,2005,0.66,0.5,0.86,58.01667,16.775
Kvädöfjärden,2006,0.88,0.62,1.17,58.01667,16.775
Kvädöfjärden,2007,0.66,0.47,0.89,58.01667,16.775
Kvädöfjärden,2008,0.62,0.48,0.79,58.01667,16.775
Kvädöfjärden,2009,0.64,0.46,0.86,58.01667,16.775
Kvädöfjärden,2010,0.45,0.33,0.59,58.01667,16.775
Kvädöfjärden,2011,0.36,0.23,0.55,58.01667,16.775
Kvädöfjärden,2012,0.4,0.29,0.54,58.01667,16.775
Kvädöfjärden,2013,0.49,0.36,0.64,58.01667,16.775
Kvädöfjärden,2014,0.41,0.29,0.54,58.01667,16.775
Kvädöfjärden,2015,0.37,0.27,0.5,58.01667,16.775
Kvädöfjärden,2016,0.64,0.48,0.83,58.01667,16.775
Kvädöfjärden,2017,0.5,0.35,0.68,58.01667,16.775
Kvädöfjärden,2018,0.73,0.52,0.99,58.01667,16.775
Kvädöfjärden,2019,0.33,0.19,0.6,58.01667,16.775
Kvädöfjärden,2020,0.44,0.23,0.67,58.01667,16.775
Kvädöfjärden,2021,0.82,0.51,1.14,58.01667,16.775
Kvädöfjärden,2022,0.38,0.21,0.63,58.01667,16.775
Kvädöfjärden,2023,0.79,0.56,1.07,58.01667,16.775
Kvädöfjärden,2024,0.52,0.31,0.81,58.01667,16.775
Östra Gotlands m kustvatten,2018,1.89,1.13,2.67,57.5335,18.85
Östra Gotlands m kustvatten,2019,1.3,0.79,1.85,57.5335,18.85
Östra Gotlands m kustvatten,2020,0.89,0.46,1.34,57.5335,18.85
Östra Gotlands m kustvatten,2021,2.98,2.25,3.73,57.5335,18.85
Östra Gotlands m kustvatten,2022,0.93,0.29,1.83,57.5335,18.85
