Area,year,age_class,year_class,mean,q5,q95,Lat_degrees,Long_degrees
Råneå,2006,2,2004,0.19,0.16,0.23,65.83283,22.42617
Råneå,2006,3,2003,0.33,0.29,0.38,65.83283,22.42617
Råneå,2006,4,2002,0.39,0.34,0.44,65.83283,22.42617
Råneå,2006,5,2001,0.06,0.05,0.08,65.83283,22.42617
Råneå,2006,6,2000,0.01,0.01,0.01,65.83283,22.42617
Råneå,2006,7,1999,0,0,0.01,65.83283,22.42617
Råneå,2006,plusgroup,1998,0.01,0,0.01,65.83283,22.42617
Råneå,2007,2,2005,0.38,0.33,0.43,65.83283,22.42617
Råneå,2007,3,2004,0.08,0.06,0.11,65.83283,22.42617
Råneå,2007,4,2003,0.17,0.14,0.2,65.83283,22.42617
Råneå,2007,5,2002,0.29,0.25,0.34,65.83283,22.42617
Råneå,2007,6,2001,0.05,0.04,0.07,65.83283,22.42617
Råneå,2007,7,2000,0.01,0,0.01,65.83283,22.42617
Råneå,2007,plusgroup,1999,0.01,0.01,0.01,65.83283,22.42617
Råneå,2008,2,2006,0.38,0.34,0.43,65.83283,22.42617
Råneå,2008,3,2005,0.24,0.2,0.27,65.83283,22.42617
Råneå,2008,4,2004,0.05,0.04,0.06,65.83283,22.42617
Råneå,2008,5,2003,0.11,0.09,0.14,65.83283,22.42617
Råneå,2008,6,2002,0.17,0.14,0.21,65.83283,22.42617
Råneå,2008,7,2001,0.03,0.02,0.04,65.83283,22.42617
Råneå,2008,plusgroup,2000,0.01,0.01,0.01,65.83283,22.42617
Råneå,2009,2,2007,0.2,0.17,0.23,65.83283,22.42617
Råneå,2009,3,2006,0.35,0.31,0.39,65.83283,22.42617
Råneå,2009,4,2005,0.21,0.18,0.25,65.83283,22.42617
Råneå,2009,5,2004,0.04,0.03,0.05,65.83283,22.42617
Råneå,2009,6,2003,0.07,0.06,0.09,65.83283,22.42617
Råneå,2009,7,2002,0.11,0.09,0.13,65.83283,22.42617
Råneå,2009,plusgroup,2001,0.02,0.01,0.02,65.83283,22.42617
Råneå,2010,2,2008,0.17,0.14,0.19,65.83283,22.42617
Råneå,2010,3,2007,0.19,0.16,0.21,65.83283,22.42617
